freq_GHz,Sdd11_dB,S11_single_ended_dB,VSWR_differential
2.365300,-5.9435,-4.6829,3.0360
2.367000,-5.9488,-4.6673,3.0335
2.368700,-5.9541,-4.6518,3.0310
2.370400,-5.9595,-4.6365,3.0284
2.372100,-5.9649,-4.6212,3.0259
2.373800,-5.9704,-4.6061,3.0233
2.375500,-5.9759,-4.5910,3.0207
2.377200,-5.9815,-4.5761,3.0181
2.378900,-5.9871,-4.5613,3.0155
2.380600,-5.9927,-4.5466,3.0129
2.382300,-5.9984,-4.5320,3.0103
2.384000,-6.0042,-4.5175,3.0076
2.385700,-6.0099,-4.5031,3.0049
2.387400,-6.0158,-4.4888,3.0022
2.389100,-6.0216,-4.4746,2.9995
2.390800,-6.0276,-4.4605,2.9968
2.392500,-6.0335,-4.4465,2.9941
2.394200,-6.0395,-4.4327,2.9913
2.395900,-6.0456,-4.4189,2.9885
2.397600,-6.0517,-4.4052,2.9858
2.399300,-6.0579,-4.3917,2.9830
2.401000,-6.0641,-4.3782,2.9801
2.402700,-6.0703,-4.3648,2.9773
2.404400,-6.0766,-4.3516,2.9745
2.406100,-6.0829,-4.3384,2.9716
2.407800,-6.0893,-4.3253,2.9687
2.409500,-6.0958,-4.3124,2.9658
2.411200,-6.1022,-4.2995,2.9629
2.412900,-6.1088,-4.2867,2.9600
2.414600,-6.1154,-4.2741,2.9571
2.416300,-6.1220,-4.2615,2.9541
2.418000,-6.1287,-4.2490,2.9512
2.419700,-6.1354,-4.2367,2.9482
2.421400,-6.1421,-4.2244,2.9452
2.423100,-6.1490,-4.2122,2.9422
2.424800,-6.1558,-4.2001,2.9391
2.426500,-6.1627,-4.1881,2.9361
2.428200,-6.1697,-4.1762,2.9331
2.429900,-6.1767,-4.1644,2.9300
2.431600,-6.1838,-4.1527,2.9269
2.433300,-6.1909,-4.1411,2.9238
2.435000,-6.1981,-4.1296,2.9207
2.436700,-6.2053,-4.1182,2.9176
2.438400,-6.2125,-4.1069,2.9145
2.440000,-6.2194,-4.0963,2.9115
2.440100,-6.2198,-4.0957,2.9113
2.441800,-6.2272,-4.0845,2.9081
2.443500,-6.2346,-4.0735,2.9050
2.445200,-6.2420,-4.0625,2.9018
2.446900,-6.2495,-4.0517,2.8986
2.448600,-6.2571,-4.0409,2.8954
2.450300,-6.2647,-4.0302,2.8921
2.452000,-6.2723,-4.0197,2.8889
2.453700,-6.2800,-4.0092,2.8857
2.455400,-6.2878,-3.9988,2.8824
2.457100,-6.2956,-3.9885,2.8791
2.458800,-6.3034,-3.9783,2.8758
2.460500,-6.3113,-3.9681,2.8725
2.462200,-6.3192,-3.9581,2.8692
2.463900,-6.3272,-3.9482,2.8659
2.465600,-6.3353,-3.9383,2.8626
2.467300,-6.3434,-3.9286,2.8592
2.469000,-6.3515,-3.9189,2.8559
2.470700,-6.3597,-3.9093,2.8525
2.472400,-6.3679,-3.8999,2.8491
2.474100,-6.3762,-3.8905,2.8457
2.475800,-6.3845,-3.8812,2.8423
2.477500,-6.3929,-3.8720,2.8389
2.479200,-6.4013,-3.8628,2.8355
2.480900,-6.4098,-3.8538,2.8321
2.482600,-6.4183,-3.8449,2.8287
2.484300,-6.4269,-3.8360,2.8252
2.486000,-6.4355,-3.8272,2.8217
2.487700,-6.4441,-3.8186,2.8183
2.489400,-6.4528,-3.8100,2.8148
2.491100,-6.4616,-3.8015,2.8113
2.492800,-6.4704,-3.7931,2.8078
2.494500,-6.4792,-3.7848,2.8043
2.496200,-6.4881,-3.7765,2.8008
2.497900,-6.4971,-3.7684,2.7973
2.499600,-6.5060,-3.7603,2.7938
2.501300,-6.5151,-3.7524,2.7903
2.503000,-6.5241,-3.7445,2.7867
2.504700,-6.5333,-3.7367,2.7832
2.506400,-6.5424,-3.7290,2.7796
2.508100,-6.5516,-3.7214,2.7761
2.509800,-6.5609,-3.7139,2.7725
2.511500,-6.5702,-3.7065,2.7689
2.513200,-6.5795,-3.6991,2.7653
2.514900,-6.5889,-3.6919,2.7618
2.516600,-6.5983,-3.6847,2.7582
2.518300,-6.6077,-3.6777,2.7546
2.520000,-6.6172,-3.6707,2.7510
2.521700,-6.6268,-3.6638,2.7474
2.523400,-6.6364,-3.6570,2.7438
2.525100,-6.6460,-3.6503,2.7402
2.526800,-6.6556,-3.6436,2.7366
2.528500,-6.6653,-3.6371,2.7329
2.530200,-6.6751,-3.6307,2.7293
2.531900,-6.6849,-3.6243,2.7257
2.533600,-6.6947,-3.6180,2.7221
2.535300,-6.7045,-3.6119,2.7184
2.537000,-6.7144,-3.6058,2.7148
2.538700,-6.7243,-3.5998,2.7112
2.540400,-6.7343,-3.5939,2.7075
2.542100,-6.7443,-3.5880,2.7039
2.543800,-6.7543,-3.5823,2.7003
2.545500,-6.7644,-3.5767,2.6966
2.547200,-6.7745,-3.5711,2.6930
2.548900,-6.7846,-3.5657,2.6894
2.550600,-6.7947,-3.5603,2.6857
2.552300,-6.8049,-3.5550,2.6821
2.554000,-6.8151,-3.5498,2.6785
2.555700,-6.8254,-3.5447,2.6748
2.557400,-6.8356,-3.5397,2.6712
2.559100,-6.8459,-3.5348,2.6676
2.560800,-6.8563,-3.5300,2.6639
2.562500,-6.8666,-3.5253,2.6603
2.564200,-6.8770,-3.5206,2.6567
2.565900,-6.8874,-3.5161,2.6531
