freq_GHz,S11_dB_flat_0pct,S11_dB_flat_5pct,S11_dB_flat_10pct,S11_dB_flat_15pct,S11_dB_flat_20pct
2.780000,-9.8697,-7.3658,-4.7793,-3.7151,-2.9439
2.782000,-9.7825,-7.3054,-4.7463,-3.6918,-2.9273
2.784000,-9.6964,-7.2457,-4.7136,-3.6687,-2.9109
2.786000,-9.6114,-7.1867,-4.6813,-3.6458,-2.8947
2.788000,-9.5275,-7.1284,-4.6493,-3.6231,-2.8786
2.790000,-9.4447,-7.0707,-4.6176,-3.6007,-2.8626
2.792000,-9.3629,-7.0138,-4.5863,-3.5785,-2.8468
2.794000,-9.2822,-6.9576,-4.5553,-3.5565,-2.8312
2.796000,-9.2024,-6.9020,-4.5246,-3.5347,-2.8157
2.798000,-9.1237,-6.8470,-4.4942,-3.5131,-2.8004
2.800000,-9.0460,-6.7927,-4.4641,-3.4918,-2.7852
2.802000,-8.9692,-6.7390,-4.4344,-3.4706,-2.7701
2.804000,-8.8934,-6.6859,-4.4049,-3.4497,-2.7552
2.806000,-8.8185,-6.6334,-4.3758,-3.4290,-2.7404
2.808000,-8.7445,-6.5816,-4.3469,-3.4084,-2.7258
2.810000,-8.6714,-6.5303,-4.3183,-3.3881,-2.7113
2.812000,-8.5992,-6.4796,-4.2901,-3.3679,-2.6970
2.814000,-8.5279,-6.4295,-4.2621,-3.3480,-2.6827
2.816000,-8.4574,-6.3799,-4.2343,-3.3283,-2.6686
2.818000,-8.3878,-6.3309,-4.2069,-3.3087,-2.6547
2.820000,-8.3190,-6.2824,-4.1797,-3.2893,-2.6409
2.822000,-8.2510,-6.2345,-4.1528,-3.2701,-2.6272
2.824000,-8.1839,-6.1871,-4.1262,-3.2511,-2.6136
2.826000,-8.1175,-6.1402,-4.0998,-3.2323,-2.6002
2.828000,-8.0518,-6.0938,-4.0737,-3.2137,-2.5868
2.830000,-7.9870,-6.0480,-4.0479,-3.1952,-2.5737
2.832000,-7.9229,-6.0026,-4.0223,-3.1769,-2.5606
2.834000,-7.8595,-5.9577,-3.9969,-3.1588,-2.5476
2.836000,-7.7969,-5.9133,-3.9718,-3.1408,-2.5348
2.838000,-7.7349,-5.8694,-3.9470,-3.1230,-2.5221
2.840000,-7.6737,-5.8260,-3.9223,-3.1054,-2.5095
