freq_GHz,Sdd11_real,Sdd11_imag,Zdiff_real,Zdiff_imag
1.6819,-0.6033409393742224,-0.35572664232313095,18.88736577456037,-26.377049573830778
1.6836,-0.6052012808210117,-0.3503937717100156,18.92815915381983,-25.96041178531963
1.6853,-0.6070205871051351,-0.34504431354761766,18.96935067631772,-25.54397763581997
1.687,-0.6087986440248464,-0.3396786448325517,19.01094253985832,-25.127741021118997
1.6887,-0.6105352415707065,-0.3342971456647852,19.052936980145716,-24.71169583141654
1.6904,-0.6122301739647639,-0.32890019918302493,19.095336272151528,-24.295835950863466
1.6921,-0.6138832396975206,-0.32348819150018737,19.138142731535144,-23.880155257166404
1.6938,-0.6154942415627082,-0.31806151163913055,19.181358716113458,-23.464647621265502
1.6955,-0.6170629866899218,-0.3126205514687998,19.22498662737689,-23.049306907089534
1.6972,-0.6185892865751655,-0.3071657056409698,19.26902891204769,-22.634126971395258
1.6989,-0.6200729571093888,-0.3016973715277441,19.31348806367593,-22.219101663695863
1.7006000000000001,-0.6215138186051028,-0.2962159491599806,19.35836662426795,-21.804224826284326
1.7023,-0.6229116958211904,-0.2907218411668045,19.40366718594137,-21.38949029435664
1.704,-0.6242664179860352,-0.2852154527163584,19.449392392600355,-20.974891896239622
1.7057,-0.6255778188191151,-0.2796971914579508,19.495544941623546,-20.560423453728557
1.7074,-0.6268457365512253,-0.27416746746572285,19.542127585557413,-20.14607878253773
1.7091,-0.6280700139435107,-0.26862669318397203,19.589143133806154,-19.731851692868105
1.7108,-0.6292504983055055,-0.2630752833742385,19.63659445430928,-19.31773599009487
1.7125,-0.6303870415123924,-0.2575136550642516,19.68448447519737,-18.903725475577197
1.7142,-0.6314795000217122,-0.25194222749880624,19.732816186415885,-18.489813947591305
1.7159,-0.6325277348897599,-0.2463614220926399,19.781592641306375,-18.07599520238854
1.7176,-0.6335316117879315,-0.2407716623853257,19.830816958134115,-17.6622630353769
1.7193,-0.6344910010192729,-0.23517337399820273,19.880492321551145,-17.248611242425795
1.721,-0.6354057775355116,-0.2295669845933219,19.93062198398282,-16.835033621291373
1.7227000000000001,-0.6362758209548419,-0.2239529238343616,19.98120926692656,-16.42152397315915
1.7244,-0.6371010155807482,-0.2183316233494406,20.03225756215074,-16.00807610429945
1.7261,-0.6378812504221394,-0.21270351669571777,20.083770332782475,-15.594683827829769
1.7278,-0.6386164192150738,-0.2070690393256528,20.135751114272573,-15.181340965577764
1.7295,-0.6393064204463401,-0.20142862855474572,20.188203515226693,-14.768041350035835
1.7312,-0.6399511573791554,-0.19578272353056647,20.241131218091937,-14.354778826398649
1.7329,-0.640550538081217,-0.19013176520283698,20.29453797968908,-13.941547254672692
1.7346,-0.6411044754553397,-0.18447619629430637,20.348427631580876,-13.528340511846237
1.7363,-0.6416128872728802,-0.17881646127212025,20.40280408026801,-13.115152494106281
1.738,-0.6420756962101238,-0.17315300631937852,20.457671307205466,-12.70197711908963
1.7397,-0.642492829887785,-0.1674862793065151,20.51303336863294,-12.288808328151559
1.7414,-0.6428642209137385,-0.16181672976214567,20.568894395214254,-11.875640088637294
1.7431,-0.6431898069290606,-0.15614480884298515,20.62525859148225,-11.462466396139098
1.7448000000000001,-0.6434695306574193,-0.15047096930243026,20.682130235087307,-11.049281276721754
1.7465,-0.6437033399578207,-0.14479566545738623,20.739513675848592,-10.636078789098466
1.7482,-0.6438911878806609,-0.13911935315290488,20.797413334609796,-10.22285302673877
