strain_pct,freq_GHz,S11_dB
0.0,2.18,-25.89182143984288
0.0,2.182,-25.51924737054374
0.0,2.184,-25.085910121347915
0.0,2.186,-24.611824617384784
0.0,2.188,-24.11374889477123
0.0,2.19,-23.604752390738184
0.0,2.192,-23.09448195109806
0.0,2.194,-22.589734439327568
0.0,2.196,-22.09508765897553
0.0,2.198,-21.613467256753825
0.0,2.2,-21.146607363896067
0.0,2.202,-20.695403780363904
0.0,2.2039999999999997,-20.26017515099687
0.0,2.206,-19.840851577334774
0.0,2.208,-19.4371086076998
0.0,2.21,-19.048461256006274
0.0,2.2119999999999997,-18.674329283041835
0.0,2.214,-18.314082050411017
0.0,2.216,-17.967068964108044
0.0,2.218,-17.632639807953833
0.0,2.2199999999999998,-17.310158016197466
0.0,2.222,-16.99900903753371
0.0,2.224,-16.698605305525106
0.0,2.226,-16.408388880077638
0.0,2.2279999999999998,-16.12783250720486
0.0,2.23,-15.856439620805736
0.0,2.232,-15.593743652791701
0.0,2.234,-15.339306907012286
0.0,2.2359999999999998,-15.09271917425549
0.0,2.238,-14.853596210463145
0.0,2.24,-14.62157816141496
0.0,2.242,-14.396327989727967
0.0,2.2439999999999998,-14.177529940741753
0.0,2.246,-13.96488807034042
0.0,2.248,-13.758124848334262
0.0,2.25,-13.556979844498668
0.0,2.252,-13.361208499905104
0.0,2.254,-13.170580983178304
0.0,2.2560000000000002,-12.984881129347874
0.0,2.258,-12.80390545772587
0.0,2.26,-12.62746226451808
0.0,2.262,-12.455370785506158
0.0,2.2640000000000002,-12.287460424011286
0.0,2.266,-12.123570039388005
0.0,2.268,-11.963547291441447
0.0,2.27,-11.807248036373663
0.0,2.2720000000000002,-11.654535770115151
0.0,2.274,-11.505281115168057
0.0,2.276,-11.359361347364201
0.0,2.278,-11.21665995921354
0.0,2.2800000000000002,-11.077066256782373
0.0,2.282,-10.940474987291394
0.0,2.284,-10.806785994859705
0.0,2.286,-10.675903902040659
0.0,2.2880000000000003,-10.547737814999095
0.0,2.29,-10.422201050366624
0.0,2.292,-10.299210881984349
0.0,2.294,-10.178688305900149
0.0,2.2960000000000003,-10.060557822130791
0.0,2.298,-9.944747231830979
0.0,2.3,-9.83118744863034
0.0,2.302,-9.719812323008817
0.0,2.3040000000000003,-9.610558478678248
0.0,2.306,-9.503365160029109
0.0,2.308,-9.398174089781351
0.0,2.31,-9.294929336053592
0.0,2.3120000000000003,-9.193577188131313
0.0,2.314,-9.094066040275576
0.0,2.316,-8.996346282970016
0.0,2.318,-8.900370201053603
0.0,2.3200000000000003,-8.806091878232902
0.0,2.322,-8.713467107508949
0.0,2.324,-8.622453307092075
0.0,2.326,-8.533009441412686
0.0,2.3280000000000003,-8.445095946867218
0.0,2.33,-8.35867466196748
0.0,2.332,-8.273708761587589
0.0,2.334,-8.190162695027151
0.0,2.336,-8.10800212763066
0.0,2.338,-8.027193885723182
0.0,2.34,-7.947705904641368
0.0,2.342,-7.869507179654468
0.0,2.344,-7.792567719586644
0.0,2.346,-7.716858502964677
0.0,2.348,-7.642351436529445
0.0,2.35,-7.569019315960018
0.0,2.352,-7.496835788671455
0.0,2.354,-7.425775318556241
0.0,2.356,-7.355813152549548
0.0,2.358,-7.286925288906022
0.0,2.36,-7.219088447084695
0.0,2.362,-7.152280039144604
0.0,2.364,-7.086478142561713
0.0,2.366,-7.021661474382541
0.0,2.368,-6.957809366636765
0.0,2.37,-6.894901742935316
0.0,2.372,-6.832919096186241
0.0,2.374,-6.771842467364225
0.0,2.376,-6.71165342527466
0.0,2.378,-6.652334047256277
0.0,2.38,-6.593866900770639
0.0,2.382,-6.536235025829276
0.0,2.384,-6.479421918213363
0.0,2.386,-6.423411513442595
0.0,2.388,-6.368188171453583
0.0,2.39,-6.313736661949757
0.0,2.392,-6.260042150387744
0.0,2.394,-6.20709018456672
0.0,2.396,-6.154866681789811
0.0,2.398,-6.103357916567927
0.0,2.4,-6.052550508838799
0.0,2.402,-6.002431412674777
0.0,2.404,-5.952987905455452
0.0,2.406,-5.9042075774815705
0.0,2.408,-5.856078322008964
0.0,2.41,-5.808588325681652
0.0,2.412,-5.761726059345111
0.0,2.414,-5.715480269221203
0.0,2.416,-5.669839968427811
0.0,2.418,-5.624794428826655
0.0,2.42,-5.580333173184199
0.0,2.422,-5.536445967630805
0.0,2.424,-5.493122814404735
0.0,2.426,-5.450353944867641
0.0,2.428,-5.40812981277953
0.0,2.43,-5.366441087821291
0.0,2.432,-5.325278649353984
0.0,2.434,-5.284633580404103
0.0,2.436,-5.244497161865251
0.0,2.438,-5.204860866906417
0.0,2.44,-5.165716355578262
0.0,2.442,-5.127055469608617
0.0,2.444,-5.08887022737941
0.0,2.446,-5.051152819077089
0.0,2.448,-5.013895602009512
0.0,2.45,-4.977091096082146
0.0,2.452,-4.940731979427216
0.0,2.454,-4.904811084179302
0.0,2.456,-4.869321392391646
0.0,2.458,-4.834256032087293
0.0,2.46,-4.799608273439827
0.0,2.4619999999999997,-4.765371525078368
