freq_GHz,S11_dB_simulated_freespace_singleended
2.0967000000000002,-27.287295865547186
2.0984,-27.974883260699876
2.1001000000000003,-28.690902611371914
2.1018,-29.43090137745876
2.1035,-30.185852237292266
2.1052,-30.939654568332422
2.1069,-31.66606691126198
2.1086,-32.326070216426274
2.1103,-32.86819122978439
2.112,-33.23561288674903
2.1137,-33.38188472916778
2.1154,-33.28933375793089
2.1171,-32.97729521300824
2.1188000000000002,-32.493129603536424
2.1205,-31.893668512530287
2.1222000000000003,-31.22985857502812
2.1239,-30.540053830513195
2.1256,-29.84991625349526
2.1273,-29.175116230289856
2.129,-28.524386255750734
2.1307,-27.901984271156532
2.1324,-27.309423373818028
2.1341,-26.746603345183743
2.1358,-26.212521711360473
2.1375,-25.70570917616607
2.1391999999999998,-25.224490790543044
2.1409000000000002,-24.767139108086084
2.1426,-24.331961189077997
2.1443000000000003,-23.91734546196698
2.146,-23.521784468358685
2.1477,-23.143883325805877
2.1494,-22.782359926620607
2.1511,-22.436040543112775
2.1528,-22.10385306456571
2.1545,-21.7848192008943
2.1562,-21.478046439155914
2.1579,-21.182720201294714
2.1596,-20.898096444451816
2.1612999999999998,-20.623494819352388
2.1630000000000003,-20.358292426990815
2.1647,-20.101918169965494
2.1664000000000003,-19.853847670406132
2.1681,-19.6135987140117
2.1698,-19.380727174544887
2.1715,-19.15482337228433
2.1732,-18.935508821540182
2.1749,-18.722433325266206
2.1766,-18.5152723783296
2.1783,-18.313724844710407
2.18,-18.117510877543886
2.1817,-17.926370054355296
2.1834,-17.740059702998746
2.1851000000000003,-17.558353396674082
2.1868,-17.381039598959365
2.1885,-17.207920442069568
2.1902,-17.0388106235664
2.1919,-16.873536408509157
2.1936,-16.71193472559222
2.1953,-16.55385234717437
2.197,-16.399145144297194
2.1987,-16.247677408832576
2.2004,-16.099321235812305
2.2021,-15.953955959791932
2.2038,-15.811467639801409
2.2055,-15.671748588048814
2.2072000000000003,-15.534696938082192
2.2089,-15.400216248588707
2.2106,-15.268215139424505
2.2123,-15.138606956838426
2.214,-15.011309465172804
2.2157,-14.886244562612148
2.2174,-14.763338018801711
2.2191,-14.642519232381773
2.2208,-14.523721006681132
2.2225,-14.406879341989358
2.2242,-14.291933242983339
2.2259,-14.178824540022896
2.2276,-14.067497723154155
2.2293000000000003,-13.957899787769755
2.231,-13.84998009097481
2.2327,-13.743690217794086
2.2344,-13.638983856437918
2.2361,-13.535816681912829
2.2378,-13.4341462473287
2.2395,-13.333931882310907
2.2412,-13.2351345979779
2.2429,-13.137716997991525
2.2446,-13.041643195229364
2.2463,-12.946878733666718
2.248,-12.853390515090215
2.2497,-12.761146730296426
2.2514000000000003,-12.670116794456977
2.2531,-12.580271286358167
2.2548,-12.491581891244985
2.2565,-12.404021347022844
2.2582,-12.31756339358773
2.2599,-12.232182725074574
2.2616,-12.147854944829115
2.2633,-12.064556522923592
2.265,-11.982264756049933
2.2667,-11.90095772963662
2.2684,-11.820614282046694
2.2701000000000002,-11.741213970724662
2.2718,-11.662737040169823
2.2735000000000003,-11.585164391622033
2.2752,-11.5084775543544
2.2769,-11.43265865847403
2.2786,-11.357690409140046
2.2803,-11.283556062113004
2.282,-11.210239400556702
2.2837,-11.13772471301823
2.2854,-11.065996772517199
2.2871,-10.995040816679682
2.2888,-10.924842528856747
2.2905,-10.855388020171073
2.2922000000000002,-10.786663812439226
2.2939,-10.718656821920264
2.2956000000000003,-10.65135434384433
2.2973,-10.584744037678613
2.299,-10.518813913089264
2.3007,-10.453552316562238
2.3024,-10.388947918646727
2.3041,-10.324989701788049
2.3058,-10.261666948718496
2.3075,-10.198969231376527
2.3092,-10.136886400326706
2.3109,-10.075408574654077
2.3126,-10.014526132308518
2.3143000000000002,-9.954229700875867
2.316,-9.8945101487541
2.3177000000000003,-9.83535857671382
2.3194,-9.776766309824108
2.3211,-9.718724889724829
2.3228,-9.661226067228837
2.3245,-9.604261795237344
2.3262,-9.547824221953261
2.3279,-9.491905684378011
2.3296,-9.436498702078058
2.3313,-9.381595971208206
2.333,-9.327190358779374
2.3347,-9.273274897159302
2.3364000000000003,-9.219842778795172
2.3381,-9.166887351147722
2.3398000000000003,-9.114402111827008
2.3415,-9.062380703920711
2.3432,-9.010816911505586
2.3449,-8.959704655334379
2.3466,-8.909037988689736
2.3483,-8.858811093397755
2.35,-8.809018275994033
2.3517,-8.759653964035365
2.3534,-8.710712702550689
2.3551,-8.662189150625068
2.3568,-8.614078078110976
2.3585000000000003,-8.566374362461243
2.3602,-8.519072985678623
2.3619000000000003,-8.472169031376511
2.3636,-8.425657681946742
2.3653,-8.379534215829121
2.367,-8.333794004879177
2.3687,-8.288432511829374
2.3704,-8.24344528784027
2.3721,-8.198827970137737
