freq_GHz_meas_best,S11_dB_meas_best,freq_GHz_meas_degraded,S11_dB_meas_degraded,freq_GHz_sim,S11_dB_sim_freespace,S11_dB_sim_onbody
0.18009775,-0.18058782815933228,0.528078,-0.18328028917312622,1.5323,-1.485104758680049,-3.2993545477271717
0.1867643333333333,-0.19650810956954956,0.552077,-0.21466359496116638,1.534,-1.494939039942623,-3.3242709230977203
0.19343091666666665,-0.22203171253204346,0.576076,-0.21584871411323547,1.5357,-1.50483814256676,-3.349388345683856
0.20009749999999998,-0.21590009331703186,0.600075,-0.2673038840293884,1.5374,-1.514802470118094,-3.3747088356899066
0.20676408333333332,-0.19792187213897705,0.624074,-0.3400682210922241,1.5391,-1.5248324290027637,-3.400234447796255
0.21343066666666666,-0.19503486156463623,0.6480730000000001,-0.32368171215057373,1.5408,-1.534928428489769,-3.4259672720637497
0.22009725,-0.19117000699043274,0.6720720000000001,-0.37731102108955383,1.5425,-1.5450908807336028,-3.451909434864235
0.22676383333333333,-0.20725563168525696,0.6960710000000001,-0.4346503019332886,1.5442,-1.5553202007971731,-3.478063099837878
0.23343041666666667,-0.24104228615760803,0.7200700000000001,-0.4964205026626587,1.5459,-1.5656168066750347,-3.504430468877833
0.240097,-0.2283453345298767,0.7440690000000001,-0.5357043743133545,1.5476,-1.5759811193169182,-3.531013783142902
0.24676358333333331,-0.21806684136390686,0.7680680000000001,-0.5437114238739014,1.5493,-1.5864135626515918,-3.557815324098751
0.2534301666666667,-0.17557251453399658,0.7920670000000001,-0.5382041931152344,1.551,-1.5969145636110387,-3.5848374145883906
0.26009675,-0.16717970371246338,0.8160660000000001,-0.5427743196487427,1.5527,-1.6074845521549643,-3.612082419932313
0.26676333333333335,-0.1790209710597992,0.8400650000000001,-0.5171263217926025,1.5544,-1.6181239612956755,-3.63955274905917
0.27342991666666666,-0.1796284317970276,0.864064,-0.5369210243225098,1.5561,-1.6288332271232902,-3.667250855667274
0.28009649999999997,-0.1682567000389099,0.888063,-0.5900197625160217,1.5578,-1.6396127888313272,-3.69517923941772
0.28676308333333334,-0.11009806394577026,0.9120620000000002,-0.6964079141616821,1.5595,-1.6504630887426632,-3.723340447159556
0.29342966666666664,-0.11824527382850647,0.9360610000000001,-0.8214988708496094,1.5612,-1.6613845723358862,-3.751737074187571
0.30009625,-0.11101070046424866,0.9600600000000001,-0.9557634592056274,1.5629,-1.6723776882720616,-3.7803717655332862
0.3067628333333333,-0.26032203435897827,0.9840590000000001,-1.0363600254058838,1.5646,-1.68344288842188,-3.8092472172894802
0.3134294166666667,-0.2139914631843567,1.0080580000000001,-1.07906174659729,1.5663,-1.694580627893256,-3.838366177968939
0.320096,-0.1438714861869812,1.0320570000000002,-1.1845837831497192,1.568,-1.7057913650593535,-3.867731449897673
0.3267625833333333,-0.11720779538154602,1.056056,-1.2085189819335938,1.5697,-1.7170755615870692,-3.8973458906431215
0.33342916666666667,-0.11291733384132385,1.0800550000000002,-1.2602715492248535,1.5714,-1.7284336824659778,-3.927212414477694
0.34009575,-0.10249084234237671,1.104054,-1.2681363821029663,1.5731,-1.7398661960377682,-3.957333993877964
0.34676233333333334,-0.09762182831764221,1.1280530000000002,-1.4266465902328491,1.5748,-1.7513735740261482,-3.9877136610597574
0.35342891666666665,-0.08712679147720337,1.152052,-1.6122193336486816,1.5765,-1.7629562915673025,-4.018354509549465
0.3600955,-0.10478702187538147,1.1760510000000002,-1.8522330522537231,1.5782,-1.7746148272408304,-4.049259695791675
0.3667620833333333,-0.10156494379043579,1.20005,-2.0000312328338623,1.5799,-1.7863496631012812,-4.08043244079323
0.37342866666666663,-0.09662133455276489,1.2240490000000002,-2.006455183029175,1.5816,-1.7981612847102024,-4.111876031803835
0.38009525,-0.13691821694374084,1.248048,-1.8169726133346558,1.5833,-1.810050181168803,-4.14359382403312
0.3867618333333333,-0.14893996715545654,1.2720470000000001,-1.5982820987701416,1.585,-1.822016845151205,-4.175589242403999
0.39342841666666667,-0.1623554825782776,1.2960460000000003,-1.3995838165283203,1.5867,-1.8340617729383093,-4.2078657833423065
0.400095,-0.17987024784088135,1.3200450000000001,-1.453180193901062,1.5884,-1.8461854644523157,-4.240427016602205
0.40676158333333334,-0.1905370056629181,1.3440440000000002,-1.539090633392334,1.5901,-1.8583884232918904,-4.27327658712712
0.41342816666666665,-0.21131682395935059,1.3680430000000001,-1.7888081073760986,1.5918,-1.8706711567680259,-4.306418216945634
0.42009475,-0.23911410570144653,1.3920420000000002,-1.8956166505813599,1.5935,-1.8830341759405989,-4.339855707101706
0.4267613333333333,-0.25571155548095703,1.416041,-1.946958303451538,1.5952,-1.8954779956556855,-4.373592939618534
0.43342791666666663,-0.26887792348861694,1.4400400000000002,-1.9120582342147827,1.5969,-1.908003134583588,-4.407633879495039
0.4400945,-0.31533098220825195,1.464039,-1.9776809215545654,1.5986,-1.9206101152576731,-4.441982576734083
0.4467610833333333,-0.3445824384689331,1.4880380000000002,-2.2176854610443115,1.6003,-1.9332994641140218,-4.476643168401107
0.4534276666666667,-0.389706015586853,1.512037,-2.0165367126464844,1.602,-1.9460717115318895,-4.511619880711844
0.46009425,-0.4488697052001953,1.5360360000000002,-1.7929966449737549,1.6037,-1.9589273918750525,-4.546917031147671
0.46676083333333335,-0.5044450163841248,1.5600350000000003,-1.8185760974884033,1.6054,-1.9718670435340555,-4.582539030596621
0.47342741666666666,-0.620679497718811,1.5840340000000002,-1.8219720125198364,1.6071,-1.984891208969345,-4.6184903855184025
0.480094,-0.7668812274932861,1.6080330000000003,-1.9008054733276367,1.6088,-1.9980004347554046,-4.654775700131001
0.48676058333333333,-1.1469342708587646,1.6320320000000001,-1.9749391078948975,1.6105,-2.011195271625865,-4.691399678616666
0.49342716666666664,-1.6482303142547607,1.6560310000000003,-2.2467031478881836,1.6122,-2.024476274519636,-4.728367127344532
0.50009375,-2.2603485584259033,1.6800300000000001,-2.5924036502838135,1.6139000000000001,-2.037844002628097,-4.765682957107032
0.5067603333333334,-2.5768823623657227,1.7040290000000002,-2.6279356479644775,1.6156,-2.0512990194434213,-4.803352185366909
0.5134269166666666,-2.242788314819336,1.7280280000000001,-2.676297426223755,1.6173,-2.0648418928079875,-4.841379938511471
0.5200935,-1.8335659503936768,1.7520270000000002,-2.7627005577087402,1.619,-2.0784731949650217,-4.87977145411011
0.5267600833333334,-1.54557466506958,1.776026,-2.8427882194519043,1.6207,-2.0921935026104213,-4.9185320831713435
0.5334266666666667,-1.432889461517334,1.8000250000000002,-2.9078409671783447,1.6224,-2.1060033969458747,-4.957667292394696
0.54009325,-1.3898926973342896,1.8240240000000003,-3.0337443351745605,1.6241,-2.1199034637332916,-4.997182666412846
0.5467598333333333,-1.2843122482299805,1.8480230000000002,-3.0419528484344482,1.6258,-2.1338942933505605,-5.037083910018846
0.5534264166666667,-1.3018425703048706,1.8720220000000003,-3.0968706607818604,1.6275,-2.147976480848763,-5.077376850373032
0.560093,-1.306288480758667,1.8960210000000002,-3.1063969135284424,1.6292,-2.1621506260108108,-5.118067439183599
0.5667595833333333,-1.1872717142105103,1.9200200000000003,-3.2872328758239746,1.6309,-2.1764173334116155,-5.15916175485473
0.5734261666666667,-1.0957450866699219,1.9440190000000002,-3.6190805435180664,1.6326,-2.19077721247982,-5.200666004595459
0.58009275,-0.9985406398773193,1.9680180000000003,-3.984806537628174,1.6343,-2.205230877561166,-5.242586526482151
0.5867593333333333,-0.9238362312316895,1.9920170000000001,-4.468845844268799,1.6360000000000001,-2.2197789479835284,-5.284929791467112
0.5934259166666667,-0.8353253602981567,2.0160160000000005,-5.148562431335449,1.6377,-2.2344220481237222,-5.327702405325045
0.6000925,-0.7202264070510864,2.0400150000000004,-5.818622589111328,1.6394,-2.249160807476105,-5.370911110529112
0.6067590833333333,-0.673073410987854,2.0640140000000007,-6.309737682342529,1.6411,-2.263995860723073,-5.4145627880473315
0.6134256666666666,-0.6135495901107788,2.0880130000000006,-6.6144208908081055,1.6428,-2.2789278478074957,-5.4586644590499525
0.62009225,-0.5676809549331665,2.1120120000000004,-6.781859397888184,1.6445,-2.2939574140071777,-5.503223286517684
0.6267588333333334,-0.5482437014579773,2.1360110000000003,-6.856503009796143,1.6461999999999999,-2.3090852100114265,-5.54824657674033
0.6334254166666666,-0.6023423671722412,2.1600100000000007,-6.6368255615234375,1.6479,-2.3243118919997925,-5.593741780694696
0.640092,-0.609561562538147,2.1840090000000005,-6.346080780029297,1.6496,-2.3396381217230573,-5.639716495290102
0.6467585833333334,-0.5930413603782654,2.2080080000000004,-6.317236423492432,1.6513,-2.355064566586588,-5.686178464469609
0.6534251666666666,-0.562597930431366,2.2320070000000003,-6.23723030090332,1.653,-2.3705918997361004,-5.733135580154026
0.66009175,-0.5487962365150452,2.2560060000000006,-6.4521379470825195,1.6547,-2.3862208001459644,-5.780595883015744
0.6667583333333333,-0.5177474617958069,2.2800050000000005,-6.891233444213867,1.6564,-2.401951952710119,-5.828567563068519
0.6734249166666667,-0.4927442669868469,2.3040040000000004,-7.422070503234863,1.6581000000000001,-2.4177860483357088,-5.877058960059026
0.6800915,-0.4713802933692932,2.3280030000000007,-7.943320274353027,1.6598,-2.4337237840395325,-5.926078563645563
0.6867580833333333,-0.43991219997406006,2.3520020000000006,-8.37222957611084,1.6615,-2.449765863047457,-5.975635013348491
0.6934246666666667,-0.4180825352668762,2.3760010000000005,-8.723393440246582,1.6632,-2.4659129948968133,-6.025737098256792
0.7000912499999999,-0.4200310707092285,2.4000000000000004,-8.877113342285156,1.6649,-2.4821658955419945,-6.076393756474579
0.7067578333333333,-0.42009639739990234,2.4239990000000007,-8.956032752990723,1.6666,-2.4985252874633295,-6.127614074291
