freq_GHz,S11_dB
2.206,-5.098586460210445
2.208,-5.153350386123671
2.21,-5.208822121962441
2.2119999999999997,-5.265012789885138
2.214,-5.321933750633043
2.216,-5.379596611128893
2.218,-5.438013232406348
2.2199999999999998,-5.497195737886722
2.222,-5.557156522022099
2.224,-5.6179082593236105
2.226,-5.679463913796087
2.2279999999999998,-5.741836748800634
2.23,-5.80504033736859
2.232,-5.869088572991407
2.234,-5.933995680913014
2.2359999999999998,-5.999776229952199
2.238,-6.066445144885413
2.24,-6.1340177194207754
2.242,-6.202509629797933
2.2439999999999998,-6.271936949049158
2.246,-6.342316161960213
2.248,-6.41366418077199
2.25,-6.485998361666514
2.252,-6.559336522084189
2.254,-6.633696958922047
2.2560000000000002,-6.709098467666471
2.258,-6.785560362517652
2.26,-6.863102497567043
2.262,-6.941745289093275
2.2640000000000002,-7.021509739047179
2.266,-7.102417459801455
2.268,-7.184490700246186
2.27,-7.2677523733175455
2.2720000000000002,-7.352226085053429
2.274,-7.437936165277338
2.276,-7.524907700019464
2.278,-7.613166565792254
2.2800000000000002,-7.702739465847154
2.282,-7.793653968549981
2.284,-7.885938548022294
2.286,-7.979622627209287
2.2880000000000003,-8.074736623547368
2.29,-8.17131199741971
2.292,-8.269381303603408
2.294,-8.36897824592986
2.2960000000000003,-8.470137735398728
2.298,-8.572895952008006
2.3,-8.677290410584817
2.302,-8.78336003092835
2.3040000000000003,-8.891145212604085
2.306,-9.000687914760551
2.308,-9.112031741374139
2.31,-9.225222032366231
2.3120000000000003,-9.34030596107993
2.314,-9.457332638651213
2.316,-9.576353225862162
2.318,-9.697421053123056
2.3200000000000003,-9.820591749296053
2.322,-9.945923380146988
2.324,-10.073476597294032
2.326,-10.203314798614409
2.3280000000000003,-10.335504301174305
2.33,-10.470114527864114
2.332,-10.607218209052247
2.334,-10.746891600719355
2.336,-10.889214720702851
2.338,-11.034271604872053
2.34,-11.182150585268808
2.342,-11.332944592495712
2.344,-11.48675148491132
2.346,-11.643674407512872
2.348,-11.803822183749986
2.35,-11.967309743932946
2.352,-12.134258594377854
2.354,-12.304797331986379
2.356,-12.479062209594094
2.358,-12.657197758162877
2.36,-12.839357472746986
2.362,-13.02570457016148
2.364,-13.21641282744033
2.366,-13.411667511531748
2.368,-13.611666412266572
2.37,-13.816620992508113
2.372,-14.026757671593293
2.374,-14.242319260783106
2.376,-14.463566572527018
2.378,-14.690780229022941
2.38,-14.924262699934605
2.382,-15.164340604376514
2.384,-15.411367318569948
2.386,-15.665725938158994
2.388,-15.927832653329661
2.39,-16.198140605972846
2.392,-16.47714431160483
2.394,-16.76538474517622
2.396,-17.06345520992921
2.398,-17.37200813295849
2.4,-17.691762961093264
2.402,-18.0235153673761
2.404,-18.368148023154298
2.406,-18.726643245173648
2.408,-19.100097892564456
2.41,-19.489740966358497
2.412,-19.89695445406367
2.414,-20.323298060961722
2.416,-20.77053856921202
2.418,-21.240684644187663
2.42,-21.73602791829923
2.422,-22.25919102936934
2.424,-22.813182776452294
2.426,-23.401459281511126
2.428,-24.027987198911376
2.43,-24.697298934933066
2.432,-25.41451709250719
2.434,-26.18529877698358
2.436,-27.015594961228793
2.438,-27.911004540360654
2.44,-28.875264365988166
2.442,-29.90694434186706
2.444,-30.99258779872296
2.446,-32.093597498038754
2.448,-33.125424380693104
2.45,-33.939180363580576
2.452,-34.345204954327066
2.454,-34.21835730341529
2.456,-33.60344861762926
2.458,-32.67460021140633
2.46,-31.60927580237468
2.4619999999999997,-30.5236578775126
2.464,-29.47670072493318
2.466,-28.492469726688263
2.468,-27.57731437880288
2.4699999999999998,-26.72953426943725
2.472,-25.944201220109576
2.474,-25.215420616919072
2.476,-24.537335836336382
2.4779999999999998,-23.904535903498413
2.48,-23.312186596861526
2.482,-22.75603794373984
2.484,-22.232380544842854
2.4859999999999998,-21.73798457931231
2.488,-21.270036832829735
2.49,-20.82608222890519
2.492,-20.40397214561733
2.4939999999999998,-20.001819868726173
2.496,-19.617962701226677
2.498,-19.250929947140673
2.5,-18.89941593172641
2.502,-18.56225727252876
2.504,-18.238413708263273
2.5060000000000002,-17.92695189350208
2.508,-17.62703166235234
2.51,-17.337894348360877
2.512,-17.05885281950429
2.5140000000000002,-16.78928294696589
2.516,-16.52861627583217
2.518,-16.27633370641462
2.52,-16.031960028097384
2.5220000000000002,-15.795059174740647
2.524,-15.565230092848699
2.526,-15.342103131867228
2.528,-15.125336880864113
2.5300000000000002,-14.914615388088015
2.532,-14.709645709989596
2.534,-14.510155744630959
2.536,-14.315892311325776
2.5380000000000003,-14.126619444103953
2.54,-13.942116871394518
2.542,-13.762178658336978
2.544,-13.586611991503947
2.5460000000000003,-13.415236088656716
2.548,-13.247881218553974
2.55,-13.08438781786653
